"ID_EQUIPO","NOMBRE_EQUIPO","NUM_JUGADORES","POSESION_MEDIA"
1,"Alavés",28,49.8
2,"Athletic Club",28,49.1
3,"Atlético Madrid",36,53.9
4,"Barcelona",28,69
5,"Celta Vigo",31,50.6
6,"Elche",32,58
7,"Espanyol",23,42.1
8,"Getafe",32,39.4
9,"Girona",32,50.4
10,"Levante",30,42.7
11,"Mallorca",27,45.4
12,"Osasuna",23,46.3
13,"Oviedo",30,45.8
14,"Rayo Vallecano",28,53.6
15,"Real Betis",28,50.9
16,"Real Madrid",33,59.4
17,"Real Sociedad",34,50.9
18,"Sevilla",33,51.7
19,"Valencia",27,48.4
20,"Villarreal",30,43.8
21,"Las Palmas",34,50.7
22,"Leganés",26,42.6
23,"Valladolid",38,42.8
24,"Almería",35,46.4
25,"Cádiz",34,43.3
26,"Granada",40,45.6
